entity_id,entity_name,lat_dd_north,lon_dd_east,elev_m,hemisphere,depo_context,eco_id,chron_code,geo_id
1777,Lac Geai SBL core,45.995878,-73.993222,360,north,sedlac,49,RPD_orig,36
1780,Fariya Lake core_micro,59.8483333333333,-111.291111111111,225,north,sedlac,58,RPD_orig,36
1781,Fariya Lake core_macro,59.8483333333333,-111.291111111111,225,north,sedlac,58,RPD_orig,36
1782,Rainbow Lake core,59.8,-112.166666666667,225,north,sedlac,12,RPD_orig,36
1784,Abalone Rocks Marsh core,33.956389,-119.976667,0,north,sedswamp,204,RPD_orig,227
1785,Big Fish Lake core_fine,42.88396,-83.39243,320,north,sedlac,205,RPD_orig,227
1786,Copper Falls Lake core,47.417,-88.192,392,north,sedlac,42,RPD_orig,227
1788,Lake Eileen core,40.902,-106.673,3135,north,sedlac,6,RPD_orig,227
1789,Gold Creek Lake core,40.781,-106.678,2917,north,sedlac,6,RPD_orig,227
1790,Gem Lake Colorado core,40.881,-106.734,3101,north,sedlac,6,RPD_orig,227
1791,Minnesota Plateau Lake core,62.541794,-146.238431,827,north,sedlac,206,RPD_orig,227
1792,Hinman Lake core,40.771,-106.827,2501,north,sedlac,6,RPD_orig,227
1793,Middle Rainbow Lake core,40.648,-106.624,3001,north,sedlac,6,RPD_orig,227
1794,Round Lake MZ core,40.473,-106.663,3071,north,sedlac,6,RPD_orig,227
1795,Seven Lake MZ core,40.896,-106.681,3276,north,sedlac,6,RPD_orig,227
1796,Teal Lake CO core,40.583,-106.608,2689,north,sedlac,6,RPD_orig,227
1797,Whale Lake MZ core,40.556,-106.675,3059,north,sedlac,6,RPD_orig,227
1798,Summit Lake MZ core,40.545,-106.682,3149,north,sedlac,6,RPD_orig,227
1799,Super Cub Lake core,62.296611,-145.347172,486,north,sedlac,179,RPD_orig,227
1800,Slack Lake MI core,42.87167,-83.61042,282,north,sedlac,205,RPD_orig,227
1801,Swift Lake MI core,42.8852,-83.62281,286,north,sedlac,205,RPD_orig,227
1802,Tiago Lake MZ core,40.579,-106.613,2700,north,sedlac,6,RPD_orig,227
1829,Keyhole core,61.078,-138.375,826,north,sedlac,53,RPD_orig,36
1830,Upper Fly core_micro,61.04,-138.09,1326,north,sedlac,53,RPD_orig,36
1831,Upper Fly core_macro,61.04,-138.09,1326,north,sedlac,53,RPD_orig,36
1832,Sulphur core_micro,60.959,-137.852,847,north,sedlac,53,RPD_orig,36
1833,Sulphur core_macro,60.959,-137.852,847,north,sedlac,53,RPD_orig,36
1834,Aishihik WA01_micro,61.233,-136.917,1000,north,sedlac,53,RPD_orig,36
1835,Aishihik WA01_macro,61.233,-136.917,1000,north,sedlac,53,RPD_orig,36
1836,Brule core,45.717,-75.433,270,north,sedlac,49,RPD_orig,36
1837,Noir core,45.775,-75.133,176,north,sedlac,49,RPD_orig,36
1838,Tawny core,44.817,-77.183,276,north,sedlac,49,RPD_orig,36
1839,Stoll core,44.967,-77.283,303,north,sedlac,49,RPD_orig,36
1841,Basin core,44.4666666666667,-70.05,125,north,sedlac,48,RPD_orig,227
1842,Conroy core,46.2833333333333,-67.8833333333333,140,north,sedlac,48,RPD_orig,227
